migrate-1  | 2026-06-27T16:10:26.731986358Z 
migrate-1  | 2026-06-27T16:10:26.807904807Z NOTICE:  drop cascades to 27 other objects
migrate-1  | 2026-06-27T16:10:26.807939958Z DETAIL:  drop cascades to extension pgcrypto
migrate-1  | 2026-06-27T16:10:26.807943852Z drop cascades to function compute_item_stack_ledger_payload_hash(uuid,uuid,bigint,bigint,bigint,bigint,text,bigint,bigint,bigint,text,text,bigint,bigint,text,text)
migrate-1  | 2026-06-27T16:10:26.807947125Z drop cascades to function compute_item_stack_ledger_hash(text,text)
migrate-1  | 2026-06-27T16:10:26.807949743Z drop cascades to table capsuleer
migrate-1  | 2026-06-27T16:10:26.807952248Z drop cascades to table region
migrate-1  | 2026-06-27T16:10:26.807954861Z drop cascades to table station
migrate-1  | 2026-06-27T16:10:26.807962032Z drop cascades to table item_type
migrate-1  | 2026-06-27T16:10:26.807965387Z drop cascades to table idempotency_record
migrate-1  | 2026-06-27T16:10:26.807968095Z drop cascades to table request_attempt
migrate-1  | 2026-06-27T16:10:26.807970613Z drop cascades to table settlement_batch
migrate-1  | 2026-06-27T16:10:26.807973209Z drop cascades to table settlement_step
migrate-1  | 2026-06-27T16:10:26.807975971Z drop cascades to table wallet
migrate-1  | 2026-06-27T16:10:26.807978396Z drop cascades to table item_stack
migrate-1  | 2026-06-27T16:10:26.807980869Z drop cascades to table trade_instance
migrate-1  | 2026-06-27T16:10:26.807986642Z drop cascades to table wallet_escrow
migrate-1  | 2026-06-27T16:10:26.807990584Z drop cascades to table item_stack_escrow
migrate-1  | 2026-06-27T16:10:26.807993221Z drop cascades to table wallet_ledger
migrate-1  | 2026-06-27T16:10:26.807995913Z drop cascades to table item_stack_ledger
migrate-1  | 2026-06-27T16:10:26.807998684Z drop cascades to function reject_ledger_mutation()
migrate-1  | 2026-06-27T16:10:26.808001253Z drop cascades to function enforce_item_stack_ledger_insert_integrity()
migrate-1  | 2026-06-27T16:10:26.808018035Z drop cascades to function check_item_stack_ledger_projection_invariant(uuid)
migrate-1  | 2026-06-27T16:10:26.808020343Z drop cascades to function enforce_item_stack_ledger_projection_invariant()
migrate-1  | 2026-06-27T16:10:26.808022254Z drop cascades to table trade_state_change
migrate-1  | 2026-06-27T16:10:26.808024033Z drop cascades to function check_trade_remaining_quantity_invariant(uuid)
migrate-1  | 2026-06-27T16:10:26.808026095Z drop cascades to function enforce_trade_remaining_quantity_invariant()
migrate-1  | 2026-06-27T16:10:26.808030349Z drop cascades to function check_trade_wallet_escrow_closed_state_invariant(uuid)
migrate-1  | 2026-06-27T16:10:26.808032391Z drop cascades to function enforce_trade_wallet_escrow_closed_state_invariant()
migrate-1  | 2026-06-27T16:10:26.858303817Z DROP SCHEMA
migrate-1  | 2026-06-27T16:10:26.858422490Z CREATE SCHEMA
migrate-1  | 2026-06-27T16:10:26.975776909Z CREATE EXTENSION
migrate-1  | 2026-06-27T16:10:26.983849726Z CREATE FUNCTION
migrate-1  | 2026-06-27T16:10:26.988568063Z CREATE FUNCTION
migrate-1  | 2026-06-27T16:10:27.016634708Z CREATE TABLE
migrate-1  | 2026-06-27T16:10:27.038093947Z CREATE TABLE
migrate-1  | 2026-06-27T16:10:27.063489736Z CREATE TABLE
migrate-1  | 2026-06-27T16:10:27.087778215Z CREATE TABLE
migrate-1  | 2026-06-27T16:10:27.112842616Z CREATE TABLE
migrate-1  | 2026-06-27T16:10:27.148699678Z CREATE TABLE
migrate-1  | 2026-06-27T16:10:27.174654700Z CREATE TABLE
migrate-1  | 2026-06-27T16:10:27.175260115Z psql:distributed-backend/src/trade-settlement/migrations/0001_settlement_schema.sql:149: NOTICE:  constraint "idempotency_record_result_batch_fk" of relation "idempotency_record" does not exist, skipping
migrate-1  | 2026-06-27T16:10:27.179741109Z ALTER TABLE
migrate-1  | 2026-06-27T16:10:27.186075390Z ALTER TABLE
migrate-1  | 2026-06-27T16:10:27.219352141Z CREATE TABLE
migrate-1  | 2026-06-27T16:10:27.219653186Z psql:distributed-backend/src/trade-settlement/migrations/0001_settlement_schema.sql:173: NOTICE:  column "step_output" of relation "settlement_step" already exists, skipping
