simulator-1  | 2026-06-27T16:16:13.199530731Z Operations to perform:
simulator-1  | 2026-06-27T16:16:35.449455747Z [27/Jun/2026 16:16:35] "POST /api/gui/buttons/1/press/ HTTP/1.1" 202 1211
simulator-1  | 2026-06-27T16:16:35.463916115Z [27/Jun/2026 16:16:35] "POST /api/gui/buttons/2/press/ HTTP/1.1" 202 1093
simulator-1  | 2026-06-27T16:16:35.699005438Z [27/Jun/2026 16:16:35] "GET /api/gui/buttons/ HTTP/1.1" 200 2786
simulator-1  | 2026-06-27T16:16:35.735010401Z [27/Jun/2026 16:16:35] "POST /api/gui/buttons/1/press/ HTTP/1.1" 202 1211
simulator-1  | 2026-06-27T16:16:35.754444983Z [27/Jun/2026 16:16:35] "POST /api/gui/buttons/2/press/ HTTP/1.1" 202 1058
simulator-1  | 2026-06-27T16:16:35.969132879Z [27/Jun/2026 16:16:35] "GET /api/gui/buttons/ HTTP/1.1" 200 2786
simulator-1  | 2026-06-27T16:16:36.010672184Z [27/Jun/2026 16:16:36] "POST /api/gui/buttons/1/press/ HTTP/1.1" 202 1211
simulator-1  | 2026-06-27T16:16:36.031651668Z [27/Jun/2026 16:16:36] "POST /api/gui/buttons/2/press/ HTTP/1.1" 202 1060
simulator-1  | 2026-06-27T16:16:36.227181342Z [27/Jun/2026 16:16:36] "GET /api/gui/buttons/ HTTP/1.1" 200 2786
simulator-1  | 2026-06-27T16:16:36.262697299Z [27/Jun/2026 16:16:36] "POST /api/gui/buttons/1/press/ HTTP/1.1" 202 1211
simulator-1  | 2026-06-27T16:16:36.293663672Z [27/Jun/2026 16:16:36] "POST /api/gui/buttons/2/press/ HTTP/1.1" 202 1106
simulator-1  | 2026-06-27T16:16:36.498138351Z [27/Jun/2026 16:16:36] "GET /api/gui/buttons/ HTTP/1.1" 200 2786
simulator-1  | 2026-06-27T16:16:36.507093189Z [27/Jun/2026 16:16:36] "GET /api/gui/buttons/ HTTP/1.1" 200 2786
simulator-1  | 2026-06-27T16:16:36.533496867Z [27/Jun/2026 16:16:36] "POST /api/gui/buttons/1/press/ HTTP/1.1" 202 1211
simulator-1  | 2026-06-27T16:16:36.612657126Z [27/Jun/2026 16:16:36] "POST /api/gui/buttons/3/press/ HTTP/1.1" 202 858
simulator-1  | 2026-06-27T16:16:36.693457089Z [27/Jun/2026 16:16:36] "POST /api/gui/buttons/2/press/ HTTP/1.1" 202 1038
simulator-1  | 2026-06-27T16:16:36.879383868Z [27/Jun/2026 16:16:36] "GET /api/gui/buttons/ HTTP/1.1" 200 2786
simulator-1  | 2026-06-27T16:16:36.909788534Z [27/Jun/2026 16:16:36] "POST /api/gui/buttons/1/press/ HTTP/1.1" 202 1211
simulator-1  | 2026-06-27T16:16:37.004984928Z [27/Jun/2026 16:16:37] "POST /api/gui/buttons/2/press/ HTTP/1.1" 202 1232
simulator-1  | 2026-06-27T16:16:37.024988236Z [27/Jun/2026 16:16:37] "POST /api/gui/buttons/2/press/ HTTP/1.1" 202 1056
simulator-1  | 2026-06-27T16:16:37.213523187Z [27/Jun/2026 16:16:37] "GET /api/gui/buttons/ HTTP/1.1" 200 2786
simulator-1  | 2026-06-27T16:16:37.247168208Z [27/Jun/2026 16:16:37] "POST /api/gui/buttons/1/press/ HTTP/1.1" 202 1211
simulator-1  | 2026-06-27T16:16:37.265432966Z [27/Jun/2026 16:16:37] "POST /api/gui/buttons/2/press/ HTTP/1.1" 202 1042
simulator-1  | 2026-06-27T16:16:37.461257466Z [27/Jun/2026 16:16:37] "GET /api/gui/buttons/ HTTP/1.1" 200 2786
simulator-1  | 2026-06-27T16:16:37.489474594Z [27/Jun/2026 16:16:37] "POST /api/gui/buttons/1/press/ HTTP/1.1" 202 1211
simulator-1  | 2026-06-27T16:16:37.561979929Z [27/Jun/2026 16:16:37] "POST /api/gui/buttons/3/press/ HTTP/1.1" 202 858
simulator-1  | 2026-06-27T16:16:37.769476117Z [27/Jun/2026 16:16:37] "GET /api/gui/buttons/ HTTP/1.1" 200 2786
simulator-1  | 2026-06-27T16:16:37.798649377Z [27/Jun/2026 16:16:37] "POST /api/gui/buttons/1/press/ HTTP/1.1" 202 1211
simulator-1  | 2026-06-27T16:16:37.827974070Z [27/Jun/2026 16:16:37] "POST /api/gui/buttons/3/press/ HTTP/1.1" 202 858
simulator-1  | 2026-06-27T16:16:38.006315198Z [27/Jun/2026 16:16:38] "GET /api/gui/buttons/ HTTP/1.1" 200 2786
simulator-1  | 2026-06-27T16:16:38.034670199Z [27/Jun/2026 16:16:38] "POST /api/gui/buttons/1/press/ HTTP/1.1" 202 1211
simulator-1  | 2026-06-27T16:16:38.104338547Z [27/Jun/2026 16:16:38] "POST /api/gui/buttons/3/press/ HTTP/1.1" 202 858
simulator-1  | 2026-06-27T16:16:38.288468192Z [27/Jun/2026 16:16:38] "GET /api/gui/buttons/ HTTP/1.1" 200 2786
simulator-1  | 2026-06-27T16:16:38.321867367Z [27/Jun/2026 16:16:38] "POST /api/gui/buttons/1/press/ HTTP/1.1" 202 1213
simulator-1  | 2026-06-27T16:16:38.411449456Z [27/Jun/2026 16:16:38] "POST /api/gui/buttons/2/press/ HTTP/1.1" 202 1232
simulator-1  | 2026-06-27T16:16:38.491647215Z [27/Jun/2026 16:16:38] "POST /api/gui/buttons/3/press/ HTTP/1.1" 202 858
simulator-1  | 2026-06-27T16:16:38.644923375Z [27/Jun/2026 16:16:38] "GET /api/gui/buttons/ HTTP/1.1" 200 2786
simulator-1  | 2026-06-27T16:16:38.736997915Z [27/Jun/2026 16:16:38] "GET /api/gui/buttons/ HTTP/1.1" 200 2786
simulator-1  | 2026-06-27T16:16:38.775112906Z [27/Jun/2026 16:16:38] "POST /api/gui/buttons/1/press/ HTTP/1.1" 202 1213
simulator-1  | 2026-06-27T16:16:38.865956840Z [27/Jun/2026 16:16:38] "POST /api/gui/buttons/2/press/ HTTP/1.1" 202 1232
simulator-1  | 2026-06-27T16:16:38.944003196Z [27/Jun/2026 16:16:38] "POST /api/gui/buttons/3/press/ HTTP/1.1" 202 858
simulator-1  | 2026-06-27T16:16:39.156379755Z [27/Jun/2026 16:16:39] "GET /api/gui/buttons/ HTTP/1.1" 200 2786
simulator-1  | 2026-06-27T16:16:39.193758325Z [27/Jun/2026 16:16:39] "POST /api/gui/buttons/1/press/ HTTP/1.1" 202 1211
simulator-1  | 2026-06-27T16:16:39.214432211Z [27/Jun/2026 16:16:39] "POST /api/gui/buttons/3/press/ HTTP/1.1" 202 816
simulator-1  | 2026-06-27T16:16:39.434528263Z [27/Jun/2026 16:16:39] "GET /api/gui/buttons/ HTTP/1.1" 200 2786
simulator-1  | 2026-06-27T16:16:39.483788663Z [27/Jun/2026 16:16:39] "POST /api/gui/buttons/1/press/ HTTP/1.1" 202 1211
simulator-1  | 2026-06-27T16:16:39.519269960Z [27/Jun/2026 16:16:39] "POST /api/gui/buttons/2/press/ HTTP/1.1" 202 1232
simulator-1  | 2026-06-27T16:16:39.533700406Z [27/Jun/2026 16:16:39] "POST /api/gui/buttons/3/press/ HTTP/1.1" 202 795
simulator-1  | 2026-06-27T16:16:39.707808989Z [27/Jun/2026 16:16:39] "GET /api/gui/buttons/ HTTP/1.1" 200 2786
simulator-1  | 2026-06-27T16:16:39.740043133Z [27/Jun/2026 16:16:39] "POST /api/gui/buttons/1/press/ HTTP/1.1" 202 1211
simulator-1  | 2026-06-27T16:16:39.811578744Z [27/Jun/2026 16:16:39] "POST /api/gui/buttons/3/press/ HTTP/1.1" 202 858
simulator-1  | 2026-06-27T16:16:39.948839643Z [27/Jun/2026 16:16:39] "POST /api/gui/buttons/3/press/ HTTP/1.1" 202 813
simulator-1  | 2026-06-27T16:16:40.139300487Z [27/Jun/2026 16:16:40] "GET /api/gui/buttons/ HTTP/1.1" 200 2786
simulator-1  | 2026-06-27T16:16:40.168683440Z [27/Jun/2026 16:16:40] "POST /api/gui/buttons/1/press/ HTTP/1.1" 202 1211
simulator-1  | 2026-06-27T16:16:40.239356834Z [27/Jun/2026 16:16:40] "POST /api/gui/buttons/3/press/ HTTP/1.1" 202 858
