rabbitmq-1  | 2026-06-27T16:04:13.025087668Z 2026-06-27 16:04:13.024739+00:00 [info] <0.574.0> Setting up a table for per-vhost connection counting on this node: tracked_connection_per_vhost[0m
rabbitmq-1  | 2026-06-27T16:04:13.025215380Z 2026-06-27 16:04:13.024775+00:00 [info] <0.574.0> Setting up a table for per-user connection counting on this node: tracked_connection_per_user[0m
rabbitmq-1  | 2026-06-27T16:04:13.025265829Z 2026-06-27 16:04:13.024815+00:00 [info] <0.574.0> Setting up a table for channel tracking on this node: tracked_channel[0m
rabbitmq-1  | 2026-06-27T16:04:13.025500072Z 2026-06-27 16:04:13.024920+00:00 [info] <0.574.0> Setting up a table for channel tracking on this node: tracked_channel_per_user[0m
rabbitmq-1  | 2026-06-27T16:04:13.025508862Z 2026-06-27 16:04:13.025074+00:00 [info] <0.254.0> Running boot step networking_metadata_store defined by app rabbit[0m
rabbitmq-1  | 2026-06-27T16:04:13.025778996Z 2026-06-27 16:04:13.025240+00:00 [info] <0.254.0> Running boot step feature_flags defined by app rabbit[0m
rabbitmq-1  | 2026-06-27T16:04:13.025787844Z 2026-06-27 16:04:13.025402+00:00 [info] <0.254.0> Running boot step codec_correctness_check defined by app rabbit[0m
rabbitmq-1  | 2026-06-27T16:04:13.025879997Z 2026-06-27 16:04:13.025457+00:00 [info] <0.254.0> Running boot step external_infrastructure defined by app rabbit[0m
rabbitmq-1  | 2026-06-27T16:04:13.026022309Z 2026-06-27 16:04:13.025512+00:00 [info] <0.254.0> Running boot step rabbit_event defined by app rabbit[0m
rabbitmq-1  | 2026-06-27T16:04:13.026169373Z 2026-06-27 16:04:13.025607+00:00 [info] <0.254.0> Running boot step rabbit_registry defined by app rabbit[0m
rabbitmq-1  | 2026-06-27T16:04:13.026415037Z 2026-06-27 16:04:13.025696+00:00 [info] <0.254.0> Running boot step rabbit_auth_mechanism_amqplain defined by app rabbit[0m
rabbitmq-1  | 2026-06-27T16:04:13.026424832Z 2026-06-27 16:04:13.025792+00:00 [info] <0.254.0> Running boot step rabbit_auth_mechanism_cr_demo defined by app rabbit[0m
rabbitmq-1  | 2026-06-27T16:04:13.026427868Z 2026-06-27 16:04:13.025854+00:00 [info] <0.254.0> Running boot step rabbit_auth_mechanism_plain defined by app rabbit[0m
rabbitmq-1  | 2026-06-27T16:04:13.026564367Z 2026-06-27 16:04:13.025889+00:00 [info] <0.254.0> Running boot step rabbit_exchange_type_direct defined by app rabbit[0m
rabbitmq-1  | 2026-06-27T16:04:13.026666158Z 2026-06-27 16:04:13.025983+00:00 [info] <0.254.0> Running boot step rabbit_exchange_type_fanout defined by app rabbit[0m
rabbitmq-1  | 2026-06-27T16:04:13.026827434Z 2026-06-27 16:04:13.026110+00:00 [info] <0.254.0> Running boot step rabbit_exchange_type_headers defined by app rabbit[0m
rabbitmq-1  | 2026-06-27T16:04:13.026889013Z 2026-06-27 16:04:13.026207+00:00 [info] <0.254.0> Running boot step rabbit_exchange_type_topic defined by app rabbit[0m
rabbitmq-1  | 2026-06-27T16:04:13.027068018Z 2026-06-27 16:04:13.026303+00:00 [info] <0.254.0> Running boot step rabbit_mirror_queue_mode_all defined by app rabbit[0m
rabbitmq-1  | 2026-06-27T16:04:13.027222308Z 2026-06-27 16:04:13.026396+00:00 [info] <0.254.0> Running boot step rabbit_mirror_queue_mode_exactly defined by app rabbit[0m
rabbitmq-1  | 2026-06-27T16:04:13.027392269Z 2026-06-27 16:04:13.026451+00:00 [info] <0.254.0> Running boot step rabbit_mirror_queue_mode_nodes defined by app rabbit[0m
rabbitmq-1  | 2026-06-27T16:04:13.027581695Z 2026-06-27 16:04:13.026534+00:00 [info] <0.254.0> Running boot step rabbit_priority_queue defined by app rabbit[0m
rabbitmq-1  | 2026-06-27T16:04:13.027602094Z 2026-06-27 16:04:13.026574+00:00 [info] <0.254.0> Priority queues enabled, real BQ is rabbit_variable_queue[0m
rabbitmq-1  | 2026-06-27T16:04:13.027818694Z 2026-06-27 16:04:13.026641+00:00 [info] <0.254.0> Running boot step rabbit_queue_location_client_local defined by app rabbit[0m
rabbitmq-1  | 2026-06-27T16:04:13.027916782Z 2026-06-27 16:04:13.026693+00:00 [info] <0.254.0> Running boot step rabbit_queue_location_min_masters defined by app rabbit[0m
rabbitmq-1  | 2026-06-27T16:04:13.028028589Z 2026-06-27 16:04:13.026754+00:00 [info] <0.254.0> Running boot step rabbit_queue_location_random defined by app rabbit[0m
rabbitmq-1  | 2026-06-27T16:04:13.028219506Z 2026-06-27 16:04:13.026847+00:00 [info] <0.254.0> Running boot step kernel_ready defined by app rabbit[0m
rabbitmq-1  | 2026-06-27T16:04:13.028282603Z 2026-06-27 16:04:13.026915+00:00 [info] <0.254.0> Running boot step rabbit_sysmon_minder defined by app rabbit[0m
rabbitmq-1  | 2026-06-27T16:04:13.028442928Z 2026-06-27 16:04:13.027226+00:00 [info] <0.254.0> Running boot step rabbit_epmd_monitor defined by app rabbit[0m
rabbitmq-1  | 2026-06-27T16:04:13.028556445Z 2026-06-27 16:04:13.028277+00:00 [info] <0.582.0> epmd monitor knows us, inter-node communication (distribution) port: 25672[0m
